Year,Country,,GDP,GE,ME,"Population, total",GDPd,GEd,MEd
1988,Jordan,,6409281168,1618999305,600131453.3,2948000,6.409281168,1.618999305,0.600131453
1989,Jordan,,5547097315,1658881042,503168158.6,3056000,5.547097315,1.658881042,0.503168159
1990,Jordan,,5601112535,1307854063,434132715.2,3170000,5.601112535,1.307854063,0.434132715
1991,Jordan,,5703271025,1064944712,568784635.7,3545000,5.703271025,1.064944712,0.568784636
1992,Jordan,,6768210815,1174893387,468629384.5,3733000,6.768210815,1.174893387,0.468629385
1993,Jordan,,7081750469,1251935307,494081431.3,3906000,7.081750469,1.251935307,0.494081431
1994,Jordan,,7434713491,1460659769,486173316.1,4061000,7.434713491,1.460659769,0.486173316
1995,Jordan,,7894196745,1762069838,351627543.2,4195000,7.894196745,1.762069838,0.351627543
1996,Jordan,,8058829700,1702702919,485609368,4325000,8.0588297,1.702702919,0.485609368
1997,Jordan,,8323863586,1873908115,510489335.1,4444000,8.323863586,1.873908115,0.510489335
1998,Jordan,,8573255998,1820329409,538061147.9,4564000,8.573255998,1.820329409,0.538061148
1999,Jordan,,8865476866,1857190467,557106752.4,4680000,8.865476866,1.857190467,0.557106752
2000,Jordan,,9241356904,1864723957,578368061.4,4797000,9.241356904,1.864723957,0.578368061
2001,Jordan,,9728503078,1897706925,573434225,4917000,9.728503078,1.897706925,0.573434225
2002,Jordan,,10292015481,2008155791,560623897.4,5038000,10.29201548,2.008155791,0.560623897
2003,Jordan,,10720549454,1987431428,643496008.4,5164000,10.72054945,1.987431428,0.643496008
2004,Jordan,,11638521950,1922151800,598620952.4,5290000,11.63852195,1.9221518,0.598620952
2005,Jordan,,12588665303,1855007052,603667136.8,5411000,12.5886653,1.855007052,0.603667137
2006,Jordan,,13607507675,2197801364,634017874.4,5536000,13.60750768,2.197801364,0.634017874
2007,Jordan,,14720019268,2153606475,888193802.7,5661000,14.72001927,2.153606475,0.888193803
2008,Jordan,,15784631190,2795883053,963471782.1,5786000,15.78463119,2.795883053,0.963471782
2009,Jordan,,16649089311,3171022270,981262976.2,5915000,16.64908931,3.17102227,0.981262976
2010,Jordan,,17038150275,2801284790,881602131.1,6046000,17.03815027,2.80128479,0.881602131
2011,Jordan,,17474464726,3138515975,839392009.3,6181000,17.47446473,3.138515975,0.839392009
2012,Jordan,,17937748320,3392727369,722721132.7,6318000,17.93774832,3.392727369,0.722721133
2013,Jordan,,18445245027,3014801111,656559475.6,6460000,18.44524503,3.014801111,0.656559476
2014,Jordan,,19016370734,3118346115,672899963.3,6607000,19.01637073,3.118346115,0.672899963
1988,Kenya,,11936687477,1199803026,358502040.3,21899004,11.93668748,1.199803026,0.35850204
1989,Kenya,,12496559751,1235656331,344893817.2,22668238,12.49655975,1.235656331,0.344893817
1990,Kenya,,13020421906,1278867665,374339364.4,23446229,13.02042191,1.278867665,0.374339364
1991,Kenya,,13207700727,1438409614,310946040.2,24234087,13.20770073,1.438409614,0.31094604
1992,Kenya,,13102105957,1659926247,249040799.6,25029754,13.10210596,1.659926247,0.2490408
1993,Kenya,,13148382236,1810501415,241636699.1,25824736,13.14838224,1.810501415,0.241636699
1994,Kenya,,13494550808,2433843064,221503001.2,26608089,13.49455081,2.433843064,0.221503001
1995,Kenya,,14089149936,2684156012,232209414,27373035,14.08914994,2.684156012,0.232209414
1996,Kenya,,14673404338,2787329733,208062226.9,28116027,14.67340434,2.787329733,0.208062227
1997,Kenya,,14743088617,2784154660,197651280,28842245,14.74308862,2.78415466,0.19765128
1998,Kenya,,15228167742,2902089860,185802260.1,29564614,15.22816774,2.90208986,0.18580226
1999,Kenya,,15579236184,2830952585,183526709.3,30301240,15.57923618,2.830952585,0.183526709
2000,Kenya,,15672664145,2742831508,204256670.8,31065820,15.67266415,2.742831508,0.204256671
2001,Kenya,,16265076196,2783982122,244696513.8,31863280,16.2650762,2.783982122,0.244696514
2002,Kenya,,16354023315,2812338945,266055970.9,32691980,16.35402331,2.812338945,0.266055971
2003,Kenya,,16833601049,2985624503,277770733.6,33551079,16.83360105,2.985624503,0.277770734
2004,Kenya,,17692838510,2996794881,285594762.5,34437460,17.69283851,2.996794881,0.285594763
2005,Kenya,,18737895401,2939886415,316799445.8,35349040,18.7378954,2.939886415,0.316799446
2006,Kenya,,19950704613,2900673701,290318146.7,36286015,19.95070461,2.900673701,0.290318147
2007,Kenya,,21317473473,3120965938,329975835.7,37250540,21.31747347,3.120965938,0.329975836
2008,Kenya,,21366990286,3400742807,345258575.4,38244442,21.36699029,3.400742807,0.345258575
2009,Kenya,,22073583795,3725878858,344667540.4,39269988,22.07358379,3.725878858,0.34466754
2010,Kenya,,23928267463,3845491522,372117548.5,40328313,23.92826746,3.845491522,0.372117548
2011,Kenya,,25390670678,3996717201,391376567.7,41419954,25.39067068,3.996717201,0.391376568
2012,Kenya,,26547193495,4251719408,442402242.3,42542978,26.5471935,4.251719408,0.442402242
2013,Kenya,,28056993796,4490260305,439548405.9,43692881,28.0569938,4.490260305,0.439548406
2014,Kenya,,29551886639,4666587352,397204319.5,44863583,29.55188664,4.666587352,0.397204319
2001,Nepal,,7211923684,471988645.8,79210956.08,24140941,7.211923684,0.471988646,0.079210956
2002,Nepal,,7220597241,489814193.7,104528872.4,24516969,7.220597241,0.489814194,0.104528872
2003,Nepal,,7505452529,537465953.1,119505596.9,24868900,7.505452529,0.537465953,0.119505597
2004,Nepal,,7856903093,573759227.5,140897260.3,25198130,7.856903093,0.573759227,0.14089726
2005,Nepal,,8130258976,566682962.6,156845696.6,25506847,8.130258976,0.566682963,0.156845697
2006,Nepal,,8403810872,582004837.3,146991913.7,25794344,8.403810872,0.582004837,0.146991914
2007,Nepal,,8690511945,646752135,134476444.5,26063619,8.690511945,0.646752135,0.134476445
2008,Nepal,,9221036339,659248277.7,147534003.9,26325183,9.221036339,0.659248278,0.147534004
2009,Nepal,,9639033175,726486256.2,158605260.5,26592666,9.639033175,0.726486256,0.15860526
2010,Nepal,,10103288981,738785365.8,157981682,26875910,10.10328898,0.738785366,0.157981682
2011,Nepal,,10449006177,853340528,160982791,27179237,10.44900618,0.853340528,0.160982791
2012,Nepal,,10948593251,1019151522,156765460.7,27500515,10.94859325,1.019151522,0.156765461
2013,Nepal,,11400647274,920928979.6,174306694.4,27834981,11.40064727,0.92092898,0.174306694
2014,Nepal,,12014068656,1107634779,184359780,28174724,12.01406866,1.107634779,0.18435978