Year,Country,GDP,GE,ME,"Population, total",GDPr,GEr,MEr
1988,Nigeria,46992974188,793168725.2,390705128.8,90773613,46.99297419,0.793168725,0.390705129
1989,Nigeria,50032099653,932301492.4,275333568.4,93179755,50.03209965,0.932301492,0.275333568
1990,Nigeria,56419202084,784731273.9,446664112.4,95617345,56.41920208,0.784731274,0.446664112
1991,Nigeria,56070615712,832949172.8,411493689.3,98085436,56.07061571,0.832949173,0.411493689
1992,Nigeria,56313808190,975678052.8,304560351.6,100592458,56.31380819,0.975678053,0.304560352
1993,Nigeria,57490979535,804311811.2,512983714.7,103145093,57.49097954,0.804311811,0.512983715
1994,Nigeria,58014011388,904654911.9,431443603.6,105753088,58.01401139,0.904654912,0.431443604
1995,Nigeria,57835636305,932193798.3,403123278.2,108424822,57.83563631,0.932193798,0.403123278
1996,Nigeria,60723777678,1040949801,333011061.9,111164651,60.72377768,1.040949801,0.333011062
1997,Nigeria,62425413647,1012855271,384866798.7,113975055,62.42541365,1.012855271,0.384866799
1998,Nigeria,64120663262,848624040.6,572859235.3,116860691,64.12066326,0.848624041,0.572859235
1999,Nigeria,64424747541,562190773.5,883052828,119826231,64.42474754,0.562190773,0.883052828
2000,Nigeria,67850915775,929773964.1,539230843.7,122876723,67.85091578,0.929773964,0.539230844
2001,Nigeria,70843863906,375676548.2,915893161.6,126014935,70.84386391,0.375676548,0.915893162
2002,Nigeria,73525054914,250699941.5,1115510844,129246283,73.52505491,0.250699941,1.115510844
2003,Nigeria,81137974801,334801295.5,704526614.2,132581484,81.1379748,0.334801296,0.704526614
2004,Nigeria,1.0851E+11,6126587498,790543649.7,136033321,108.5104994,6.126587498,0.79054365
2005,Nigeria,1.12248E+11,6967071093,674206410,139611303,112.2483246,6.967071093,0.67420641
2006,Nigeria,1.21465E+11,9724831060,648251320.4,143318011,121.4649951,9.72483106,0.64825132
2007,Nigeria,1.29759E+11,15507851345,757205012.9,147152502,129.7591088,15.50785134,0.757205013
2008,Nigeria,1.37895E+11,19100592005,1070697981,151115683,137.8953471,19.10059201,1.070697981
2009,Nigeria,1.47458E+11,19008255311,1308984037,155207145,147.4575841,19.00825531,1.308984037
2010,Nigeria,1.59018E+11,21878346359,857473874.9,159424742,159.0178746,21.87834636,0.857473875
2011,Nigeria,1.6679E+11,22809569529,966091020,163770669,166.7896929,22.80956953,0.96609102
2012,Nigeria,1.73927E+11,22430380980,874055111.7,168240403,173.9270864,22.43038098,0.874055112
2013,Nigeria,1.83309E+11,20053009872,860995820.7,172816517,183.3094375,20.05300987,0.860995821
2014,Nigeria,1.94876E+11,21281313670,808186313,177475986,194.8757465,21.28131367,0.808186313
2002,Qatar,33502005756,4658568346,1316618750,634388,33.50200576,4.658568346,1.31661875
2003,Qatar,34748266515,4753788686,1158505413,668165,34.74826651,4.753788686,1.158505413
2004,Qatar,41426506421,3341571693,1008263039,732096,41.42650642,3.341571693,1.008263039
2005,Qatar,44530494505,5478434066,887500000,836924,44.53049451,5.478434066,0.8875
2006,Qatar,56184234328,7522200464,983504881.2,988448,56.18423433,7.522200464,0.983504881
2007,Qatar,66289337872,7477142245,1299161542,1178955,66.28933787,7.477142245,1.299161542
2008,Qatar,77998392444,7790041476,1568154666,1388962,77.99839244,7.790041476,1.568154666
2009,Qatar,87324317928,10695333662,1739686568,1591151,87.32431793,10.69533366,1.739686568
2010,Qatar,1.04433E+11,12397573046,1566434089,1765513,104.4331878,12.39757305,1.566434089